subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58746085,T21,"[['8.2', '.'], ['', '.'], ['', '.']]",2,1,8.2 . .,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_061.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_060.jpeg,
58746085,T27,"[['9.2', '.'], ['', '.'], ['', '.']]",2,1,9.2 . .,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_061.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_060.jpeg,
58746099,T3,"[['6.2', '.'], ['', '.'], ['', '.']]",2,1,6.2 . .,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_004.jpeg,
58746099,T9,"[['6.8', '.'], ['', '.'], ['', '.']]",2,1,6.8 . .,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_004.jpeg,
58746099,T21,"[['10.6', '.'], ['', '.'], ['', '.']]",2,1,10.6 . .,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_004.jpeg,
58746120,T21,"[['9.2', '.', '9.2'], ['', '.', ''], ['', '.', '']]",3,1.333333333,9.2 . .,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_034.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_033.jpeg,
58746121,T3,"[['4.7', '.'], ['', '.'], ['', '.']]",2,1,4.7 . .,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_031.jpeg,
58746132,T3,"[['4.1', '.'], ['', '.'], ['', '.']]",2,1,4.1 . .,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Clear_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Clear_GROW_023.jpeg,
58746153,T9,[['6.5']],1,1,6.5,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Taylor_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Taylor_GROW_011.jpeg,
58746168,T9,"[['5.3', '.'], ['', '.'], ['', '.']]",2,1,5.3 . .,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_023.jpeg,
