,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
34,63265129,T13,"[['', '10', '10', '10'], ['', 'to', 'to', 'to'], ['10-15%', '15%', '15%', '15%']]",4,3,10 to 15%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_MIRROR_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_MIRROR_SUMM_0001_2.jpeg,Percent shoal,10,15,pct,Yes,
35,63265226,T13,"[['80', '80', '80', '80'], ['to', 'to', 'to', 'to'], ['85', '85', '85', '85%'], ['per', 'per', 'per', ''], ['cent', 'cent', 'cent.', '']]",4,3.2,80 to 85 per cent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_HIGHLIFE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_HIGHLIFE_SUMM_0001_2.jpeg,Percent shoal,80,85,pct,Yes,
36,63265250,T13,"[['about', 'about', 'about', 'about'], ['2590', '2590', '2590', '2590'], ['', '', '(?)', '']]",4,3,about 2590 (?),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BASSETT_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BASSETT_SUMM_0002_2.jpeg,Percent shoal,NA,,pct,Yes,
37,63265254,T13,"[['about', 'about', 'about', 'about'], ['2590', '2590', '2590', '2590'], ['', '?', '', '']]",4,3,about 2590 ?,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BASSETT_SUMM_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BASSETT_SUMM_0003_2.jpeg,Percent shoal,NA,,pct,Yes,
38,63265280,T13,"[['10', '10', '10', '10%'], ['Per', 'Per', 'Per', ''], ['cent', 'cent', 'cent', '']]",4,3,10 per cent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_MEYERS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_MEYERS_SUMM_0001_2.jpeg,Percent shoal,10,,pct,Yes,
39,63265288,T13,"[['90', '90', '90', '90%'], ['(rough', '(rough', '(rough', 'rough'], ['estimate)', 'estimate)', 'estimate)', 'estimate']]",4,3,90 (rough estimate),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_RYAN_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_RYAN_SUMM_0001_2.jpeg,Percent shoal,90,,pct,Yes,
40,63265365,T13,"[['[15]', '', '', ''], ['low', 'low', 'low', 'low']]",4,2.5,[15] low,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Kalkaska_TwinLittle28N_5-6W_S-many_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Kalkaska_TwinLittle28N_5-6W_S-many_SUMM_016.jpg,Percent shoal,NA,,pct,Yes,
41,63265393,T13,"[['10%', '10', '10', '10'], ['', 'per', 'Per', 'Per'], ['', 'cent', 'Cent', 'Cent']]",4,2.333333333,10 per cent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Kent_Scotch_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Kent_Scotch_SUMM_003.jpg,Percent shoal,10,,pct,Yes,
42,63265434,T13,"[['58.6%', '58.6%', '58.6%', '58.6%']]",4,4,58.60%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Whalen_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Whalen_SUMM_006.jpg,Percent shoal,58.6,,pct,Yes,
43,63265467,T13,"[['About', 'About', 'about', 'about'], ['15', '15', '15', '15'], ['ft.', 'ft', 'ft.', 'ft.']]",4,3,about 15 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_Appleton_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_Appleton_SUMM_012.jpg,Percent shoal,NA,,pct,Yes,
44,63265498,T13,"[['all', 'all', 'all', 'All'], ['shoal', 'shoal', 'shoal', 'shoal'], ['', '', '', '-'], ['', '', '', ""10'""]]",4,2.25,all shoal - 10',https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_ChrisBrown_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_ChrisBrown_SUMM_011.jpg,Percent shoal,100,,pct,Yes,
45,63265507,T13,"[['/18', '18%', '18', '/18'], ['recorded', 'recorded', 'recorded', 'recorded'], ['on', 'on', 'on', 'on'], ['C.C.C', 'CCC', 'CCC', 'C.C.C.'], ['map', 'map', 'map', 'map']]",4,3.2,/18 recorded on ccc map,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_FurFarm_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_FurFarm_SUMM_004.jpg,Percent shoal,18,,pct,Yes,
46,63265559,T13,"[['15', '15', '15', '15'], ['acres', 'acres', 'acres', 'acres'], ['(approx.)', '(approx.)', '(approx)', 'approximately']]",4,3.333333333,15 acres (approx.),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Bass45N_25W_S36_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Bass45N_25W_S36_SUMM_007.jpg,Percent shoal,19.5,,pct,Yes,
