subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,units,
63265848,"[['', '10%', '', ''], ['', '100%', '', ''], ['', 'Frank', '', ''], ['79%', '79%', '79%', '79%'], ['', '<', '<', ''], [""<15'"", ""15'"", ""15'"", '']]",4,1.833333333,10% 100% frank 79% < 15',https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Minnewaukon_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Minnewaukon_SUMM_003.jpeg,Percent shoal,79,,pct,
63265851,"[['100', '100', '100%', '100%']]",4,2,100,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Kaiser_SUMM_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Kaiser_SUMM_005.jpeg,Percent shoal,100,,pct,
63265861,"[['95-100', '95-100%', '95', '95-100'], ['', '', '-', ''], ['', '', '100', '']]",4,1.333333333,95-100 - 100,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_ThreeIsland_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_ThreeIsland_SUMM_001.jpeg,Percent shoal,95,100,pct,
63265864,"[['75', '75', '75%', '75%']]",4,2,75,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Sunken_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Sunken_SUMM_001.jpeg,Percent shoal,75,,pct,
63265867,"[['30', '30%', '30%', '30']]",4,2,30,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Stueben_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Stueben_SUMM_003.jpeg,Percent shoal,30,,pct,
63265902,"[['<', '<', '', 'less'], ['', '', '', 'than'], ['10.0', '10.0', '<10.0%', '10.0']]",4,2,< than 10.0,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Deep_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Deep_SUMM_001.jpeg,Percent shoal,10,,pct,
63265904,"[['70', '70', '70%', '70%']]",4,2,70,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Dark_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Dark_SUMM_001.jpeg,Percent shoal,70,,pct,
63265921,"[['100%', '100', '100%', '100']]",4,2,100%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_003.jpeg,Percent shoal,100,,pct,
63265939,"[['80%', '80', '80%', '80']]",4,2,80%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/PresqueIsle_Grand_SUMM_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/PresqueIsle_Grand_SUMM_005.jpeg,Percent shoal,80,,pct,
63265943,"[['10-15%', '10%', '10%-15%', '10%'], ['', '-', '', '-'], ['', '15%', '', '15%']]",4,2,10% - 15%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/PresqueIsle_BearDen_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/PresqueIsle_BearDen_SUMM_003.jpeg,Percent shoal,10,15,pct,
63265950,"[['15'], ['ft.']]",1,1,15 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Round_SUMM_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Round_SUMM_015.jpeg,Percent shoal,NA,,pct,
63265954,"[['100', '100%', '100', '100%']]",4,2,100,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Ottawa_Fennessey_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Ottawa_Fennessey_SUMM_001.jpeg,Percent shoal,100,,pct,
63265966,"[['', '', '', '20'], ['', '', '', '-'], ['20-25%', '20-25%', '20-25%', '25%']]",4,1.666666667,20 - 20-25%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_136.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_135.jpeg,Percent shoal,20,25,pct,
63265982,"[['10%', '10%', '10%', '10%'], ['(', '', '', ''], ['rough', '(rough', '(rough', ''], ['estimate', 'estimate)', 'estimate)', ''], [')', '', '', '']]",4,2,10% ( (rough estimate) ),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_HART_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_HART_SUMM_0001_2.jpeg,Percent shoal,10,,pct,
63266017,"[['100%', '100', '100', '100%']]",4,2,100%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONROE_OTTAWA_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONROE_OTTAWA_SUMM_0001_2.jpeg,Percent shoal,100,,pct,
63266028,"[['', '', '(less', ''], ['', '', 'than', ''], ['', '', '15', ''], ['', '', 'ft.)', ''], ['About', 'About', 'About', 'About'], ['30', '30', '30', '30%'], ['', '', 'acres', '']]",4,1.714285714,(less than 15 ft.) about 30 acres,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONTCALM_NEVINS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONTCALM_NEVINS_SUMM_0001_2.jpeg,Percent shoal,30,,pct,
63266047,"[['100', '100%', '100', '100%', '100'], ['', 'J.L.F.', '', '', '']]",5,2,100 j.l.f.,`,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_GEDDES_SUMM_0001_2.jpeg,Percent shoal,100,,pct,
63266061,[['none']],1,1,none,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_PEETS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_PEETS_SUMM_0001_2.jpeg,Percent shoal,NA,,pct,
63266070,"[['less', 'about', 'about', 'about'], ['than', '95%', '95%', '95%'], ['15', '', '(report', ''], ['feet', '', 'deeper)', '']]",4,2,about 95% 15 feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_SUTTONS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_SUTTONS_SUMM_0001_2.jpeg,Percent shoal,95,,pct,
63266082,"[['90', '90%', '90%', '90%'], ['%', '', '', ''], ['(Funk,', '', '', ''], ['1942)', '', '', '(1942)']]",4,1.5,"90% % (funk, 1942)",https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WEXFORD_MITCHELL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WEXFORD_MITCHELL_SUMM_0001_2.jpeg,Percent shoal,90,,pct,
