subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,notes,URL_front,URL_back,column_name
63265156,"[['1.0-3.0', '1.0-3.0', '1.0'], ['', '', '-'], ['', '', '3.0']]",3,1.333333333,1.0-3.0 - 3.0,1,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_SHADY_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_SHADY_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265174,"[['Methyl', '', ''], ['purple', '', ''], ['Alk.', '', ''], ['(range)', '', ''], ['5.0', '5.0', '5.0'], ['ppm', 'ppm', 'ppm']]",3,1.666666667,Methyl purple Alk. (range) 5.0 ppm,0,5,ppm,purple,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_WEBER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_WEBER_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265179,"[['10-60', '10', '10-60', '10-60'], ['', '-', '', ''], ['', '60', '', '']]",4,1.666666667,10-60 - 60,10,60,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_ELY_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_ELY_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265180,"[['52-56', '52-56', '52', '52-56'], ['', '', '-', ''], ['', '', '56', ''], ['p.p.m.', 'p.p.m.', 'ppm', 'ppm']]",4,1.75,52-56 - 56 p.p.m.,52,56,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_LOWERSCOTT_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_LOWERSCOTT_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265186,"[['55-56ppm', '55', '55-56', '55-56'], ['', '-', '', ''], ['', '56', '', ''], ['', 'ppm', 'ppm', 'ppm']]",4,1.75,55-56 - 56 ppm,55,56,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_SCOTTUPPER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_SCOTTUPPER_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265200,"[['162-200', '162-200', '162-200', '162'], ['', '', '', '-'], ['', '', '', '200'], ['ppm.', 'ppm.', 'ppm', 'ppm']]",4,1.75,162-200 - 200 ppm.,162,200,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_BENWAY_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_BENWAY_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265201,"[['190-185', '190-185', '190', '190-185'], ['', '', '-', ''], ['', '', '185', ''], ['ppm.', 'ppm.', 'ppm', 'ppm']]",4,1.75,190-185 - 185 ppm.,185,190,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_HANLEY_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_HANLEY_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265216,"[['10-25ppm', '10-25', '10', '10-25ppm'], ['', '', '-25', ''], ['', 'ppm', 'ppm', '']]",4,1.666666667,10-25ppm -25 ppm,10,25,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_COON_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_COON_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265225,"[['10-27', '10', '10-27', '10-27ppm'], ['', '-', '', ''], ['', '27', '', ''], ['ppm', 'ppm', 'ppm', '']]",4,1.75,10-27 - 27 ppm,10,27,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_GEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_GEORGE_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265249,"[['127', '127-158', '127-158', '127-158'], ['-', '', '', ''], ['158', '', '', ''], ['ppm', 'ppm', 'ppm.', 'ppm.']]",4,1.75,127-158 - 158 ppm,127,158,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BARLOW_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_BARLOW_SUMM_0001_2.jpeg,Methyl Orange Alk Range
