subject_id,new_key,lakename,county,url_front,url_back,comments,
58643105,40-244,BASS,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bass28N_5W_S23_SUMM_005.jpg,NA,,
58687754,40-48,BASS,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass26N_7W_S7_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass26N_7W_S7_SUMM_009.jpg,,
58687755,40-48,BASS,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass_SUMM_20200227151622950_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass_SUMM_20200227151622950_0002.jpg,,
58687758,40-244,BASS,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass28N_5W_S23_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Bass28N_5W_S23_SUMM_018.jpg,,
59070975,45-48,BASS,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_Bass_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_Bass_SUMM_004.jpg,,
59070977,45-73,BASS,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_Bass31N_11W_S27-28_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_Bass31N_11W_S27-28_SUMM_003.jpg,,
58688732,NA,BEAR,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_94.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_93.jpeg,image not working ,
59070544,69-1,BEAR,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_136.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_135.jpeg,,
59070546,69-1,BEAR,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_94.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_93.jpeg,,
59106838,69-1,BEAR,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_094.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_093.jpeg,,
