subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642805,"[['5.4', '5.3-6.7', '5.3-6.7', '5.4-6.2', '5.4-6.2'], ['6.2', '', '', '', '']]",5.3-6.7 6.2,Third row Length Range ,5.4-6.2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['5.3', '', '', '5.3-6.7', '5.3-6.7'], ['6.7', '6.6-7.0', '6.6-7.0', '', '']]",5.3-6.7 6.6-7.0,Fourth row Length Range ,5.3-6.7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['6.6', '7.2-8.1', '7.2-8.1', '6.6-7.0', '6.6-7.0'], ['7.0', '', '', '', '']]",7.2-8.1 7.0,5th row Length Range ,6.6-7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['6.77', '7.6', '7.6', '6.10', '6.77']]",6.77,5th row Mean Length ,6.77,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['7.2', '7.2-8.3', '7.2-8.3', '7.2-8.1', '7.2-8.1'], ['8.1', '', '', '', '']]",7.2-8.3 8.1,6th row Length Range ,7.2-8.1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['7.60', '7.6', '7.6', '6.77', '7.60']]",7.6,6th row Mean Length ,7.6,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['7.2', '7.4-8.9', '7.4-8.9', '7.2-8.3', '7.2-8.3'], ['8.3', '', '', '', '']]",7.4-8.9 8.3,7th row Length Range ,7.2-8.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['7.4', '8.0-8.4', '8.0-8.4', '7.4-8.9', '7.4-8.9'], ['8.9', '', '', '', '']]",8.0-8.4 8.9,8th row Length Range ,7.4-8.9,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['8.0', '8.7-8.7', '8.7', '8.0-8.4', '8.0-8.4'], ['8.4', '', '', '', '']]",8.0-8.4 8.4,9th row Length Range ,8.0-8.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
58642805,"[['8.7', '8.7-8.7', '8.7-8.7'], ['8.7', '', '']]",8.7-8.7 8.7,10th row Length Range ,8.7-8.7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,
