"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264576,NA,NA,NA,NA,NA,NA,NA,NA
63264577,2,2,8,140,NA,NA,NA,NA
63264579,0,0,0,0,NA,NA,NA,NA
63264581,NA,NA,NA,NA,NA,NA,NA,NA
63264582,2,1,50,0,NA,NA,NA,NA
63264583,3,3,50,0,NA,NA,NA,NA
63264584,1,1,15,0,NA,NA,NA,NA
63264585,2,1,10,NA,NA,NA,NA,NA
63264586,NA,NA,2,53,NA,NA,NA,NA
63264587,0,0,0,0,NA,NA,NA,NA
63264588,5,0,100,0,NA,NA,NA,NA
63264589,1,2,20,476,NA,NA,NA,NA
63264590,0,0,0,0,NA,NA,NA,NA
63264591,0,0,0,0,NA,NA,NA,NA
63264592,3,3,40,0,NA,NA,NA,NA
63264593,0,0,0,0,NA,NA,NA,NA
63264595,NA,NA,0,NA,NA,NA,NA,NA
63264596,0,0,0,0,NA,NA,NA,NA
63264597,0,NA,0,0,NA,NA,NA,NA
63264598,7,0,30,1,NA,NA,NA,NA
63264599,3,NA,20,225,NA,NA,NA,NA
63264600,15,1,225,NA,NA,NA,NA,NA
63264601,3,3,33,297,NA,NA,NA,NA
63264602,0,0,0,0,NA,NA,NA,NA
63264603,NA,1,1,0,NA,NA,NA,NA
63264604,1,1,1,1,NA,NA,NA,NA
63264605,0,0,0,0,NA,NA,NA,NA
63264606,0,0,0,0,NA,NA,NA,NA
63264607,NA,NA,40,NA,NA,NA,NA,NA
63264608,0,0,0,0,NA,NA,NA,NA
63264609,0,0,0,0,NA,NA,NA,NA
63264610,0,0,0,0,NA,NA,NA,NA
63264611,0,0,0,0,NA,NA,NA,NA
63264612,0,0,0,0,NA,NA,NA,NA
63264613,NA,NA,0,NA,NA,NA,NA,NA
63264614,0,0,1,0,NA,NA,NA,NA
63264615,0,0,0,0,NA,NA,NA,NA
63264616,0,0,72,0,NA,NA,NA,NA
63264618,NA,NA,1,NA,NA,NA,NA,NA
63264620,0,0,6,0,NA,NA,NA,NA
63264621,NA,NA,NA,NA,NA,NA,NA,NA
63264622,0,0,0,0,NA,NA,NA,NA
63264623,0,0,0,0,NA,NA,NA,NA
63264624,0,0,2,0,NA,NA,NA,NA
63264625,NA,NA,4,NA,NA,NA,NA,NA
63264626,1,1,NA,NA,NA,NA,NA,NA
63264627,0,0,3,0,NA,NA,NA,NA
63264628,3,2,70,NA,NA,NA,NA,NA
63264630,3,0,64,62,NA,NA,NA,NA
63264631,0,0,4,0,NA,NA,NA,NA
63264633,NA,NA,2,NA,NA,NA,NA,NA
63264634,1,1,5,NA,NA,NA,NA,NA
63264635,0,0,0,0,NA,NA,NA,NA
63264636,0,0,0,1,NA,NA,NA,NA
63264637,0,0,0,0,NA,NA,NA,NA
63264638,NA,NA,0,NA,NA,NA,NA,NA
