"subject_id","temp_surface_max_c","temp_surface_min_c","temp_bottom_max_c","temp_bottom_min_c","do_above_thermo_max_ppm","do_above_thermo_min_ppm","do_in_thermo_max_ppm","do_in_thermo_min_ppm","do_below_thermo_max_ppm","do_below_thermo_min_ppm"
63264645,25.556,23.889,NA,18.5,NA,9.6,7.8,9.3,NA,NA
63264646,NA,29.2,NA,27.5,8.2,7.2,NA,NA,NA,NA
63264647,24.2,26,NA,20.8,6.7,10,1.5,7.4,NA,NA
63264648,27.5,26.5,16.5,17.5,NA,7.5,0.3,9,NA,NA
63264649,NA,24.4,NA,24.4,8.4,7.8,NA,NA,NA,NA
63264650,NA,26.5,NA,25.1,5.3,6.5,NA,NA,NA,NA
63264651,NA,26.667,NA,28,8.4,9.1,NA,NA,NA,NA
63264652,25.9,24.9,NA,17.6,7.6,6.4,0.5,6.6,NA,NA
63264653,24,26.5,NA,9.4,NA,7.8,0,7.8,NA,NA
63264654,NA,25.556,NA,24.2,NA,7.1,NA,7,NA,NA
63264655,NA,26.9,25,24.8,7.3,7.2,7.2,5.7,NA,NA
63264656,NA,24.3,NA,21.4,9.7,9.4,8.2,8.3,NA,NA
63264657,26.1,27.6,NA,7.8,6.4,8,2.5,8,1.1,3.3
63264658,NA,23.333,NA,6.611,NA,4.4,NA,NA,0.2,0
63264659,NA,28.1,NA,21.5,6.5,7.1,NA,6,NA,NA
63264660,NA,23,NA,20,4.5,7.9,NA,NA,NA,NA
63264661,22.778,19.444,23.8,23,7.6,7.2,NA,NA,NA,NA
63264662,NA,23.889,NA,22.1,NA,6.5,NA,NA,NA,6.5
63264663,NA,22.722,NA,6.889,NA,7.8,NA,9.8,NA,4.1
63264664,NA,24.722,NA,10.389,7.7,5.3,0.5,5.3,NA,0
63264665,22.222,20.556,NA,13.1,NA,6.8,6.9,0,NA,NA
63264666,NA,25,NA,10.7,NA,6.6,NA,NA,NA,NA
63264667,25,21.111,NA,8,8,5.9,NA,NA,2,0
63264668,NA,21,NA,8,NA,7.3,NA,NA,NA,5
63264669,NA,19.778,NA,17.889,7.1,6.8,NA,NA,NA,NA
63264670,NA,17.222,NA,6.111,NA,NA,NA,9.8,NA,1.5
63264671,NA,16,NA,15.8,NA,NA,NA,NA,NA,NA
63264672,NA,18.222,NA,7.278,NA,9.3,3.7,7.9,NA,0
63264673,NA,19.778,NA,17.889,7.1,6.8,NA,NA,NA,NA
63264674,NA,21.111,NA,NA,NA,NA,NA,NA,NA,NA
63264675,21.667,19.444,NA,9.4,7,6.4,0,0,NA,NA
63264676,NA,25,NA,20,9.6,9.2,NA,NA,NA,NA
63264677,NA,21,NA,12.5,NA,8.8,NA,NA,NA,6
63264678,21.667,19.444,NA,9.4,7,6.4,6.4,0,NA,NA
63264679,NA,18.5,NA,6.4,7.6,8.5,3.9,7.8,1.2,1.9
63264680,NA,22.5,NA,19.5,NA,8.2,NA,NA,NA,4.9
63264681,23.889,23.333,NA,13.889,NA,8.2,NA,NA,NA,NA
63264682,NA,19.5,NA,17,NA,6.6,NA,NA,NA,NA
63264683,NA,22.222,NA,6.9,NA,7.5,NA,NA,NA,0.2
63264684,22.222,19.444,NA,17.7,NA,8.1,7.9,5,NA,5
63264685,NA,19.722,NA,17.722,7.9,9.8,NA,NA,NA,NA
63264686,NA,23.889,NA,6.2,NA,9.2,NA,NA,NA,7.5
63264687,NA,23.611,NA,9.222,NA,6.6,0.5,4.8,NA,0
63264688,NA,21.111,NA,NA,NA,NA,NA,4.9,NA,0.28
63264689,NA,22.778,NA,9.778,NA,NA,NA,4.9,NA,0.28
63264690,25.556,23.889,NA,11.8,6.7,8.6,NA,NA,0,1.2
63264691,NA,17.389,NA,16.333,7.4,10.1,NA,NA,NA,NA
63264692,NA,23.222,NA,23.111,NA,6.2,NA,NA,NA,NA
63264693,NA,19,NA,16.3,6.3,8.2,NA,NA,NA,3.4
63264694,NA,23.2,NA,5.1,2.1,6.2,NA,NA,NA,NA
63264695,NA,17.778,NA,17.722,NA,7.5,NA,NA,NA,NA
63264696,NA,21.611,NA,20.889,6.9,7.3,NA,NA,NA,NA
63264697,26.667,21.667,NA,11.667,NA,8,7.9,0.5,0.5,0
63264698,21.111,10.556,NA,NA,NA,NA,NA,NA,NA,NA
63264699,23.333,21.111,NA,10.2,7.3,7.1,NA,NA,NA,0
63264700,NA,19.611,NA,17.778,7.5,8.9,NA,NA,NA,NA
63264701,NA,21.278,NA,7.389,NA,6.3,0.6,5.8,NA,0
63264702,NA,18.889,NA,7.7,7.7,7.4,2.7,7.4,NA,0.4
63264703,NA,21.278,NA,7.389,NA,6.3,0.6,5.8,NA,0
63264704,NA,21.722,NA,20.278,6.5,6.6,NA,NA,NA,NA
63264705,NA,19.444,NA,17.7,5.2,3.8,NA,NA,NA,NA
63264708,26.6,25,NA,7.3,9,7.9,NA,NA,0,0
63264709,NA,22.1,NA,11.2,NA,7.6,NA,6,NA,0.3
63264710,NA,25.556,NA,11.111,6.5,7.2,0,2.2,NA,NA
63264711,NA,23.889,NA,15,0.6,5.6,2.9,5.6,NA,NA
63264712,NA,19.167,NA,16.667,NA,13,NA,NA,NA,10
63264713,NA,21.111,8.6,9.1,8.4,8.6,8.6,9.5,2.9,6.3
63264714,25.556,23.889,NA,10.5,8.02,3.47,NA,NA,3,0.5
63264715,NA,27.222,NA,28.111,5.91,5.82,NA,NA,NA,NA
63264716,26.667,21.111,NA,8.333,8.7,6.5,NA,NA,5.8,4
63264717,NA,23,NA,19.2,10.67,7.28,NA,NA,NA,NA
63264718,29,27,NA,14,NA,7.37,NA,NA,2.72,0.39
63264719,NA,24.444,NA,14.444,NA,5.2,NA,NA,NA,0
63264720,NA,25.556,NA,13.333,6.6,6.8,1.6,4.5,NA,NA
63264721,18.4,18.2,9.2,6.8,8.75,8.5,NA,NA,NA,1
63264722,NA,22.778,NA,17.222,NA,6.6,1,4.6,NA,NA
63264723,NA,26.667,NA,26.667,NA,NA,NA,NA,NA,NA
63264724,NA,24.444,10,8.889,6.2,8.2,1.2,6.5,NA,0
63264725,NA,25.556,NA,NA,NA,6.69,NA,NA,NA,NA
63264726,NA,26.667,NA,24.5,4.8,8.2,NA,NA,NA,NA
63264727,NA,20.556,NA,NA,NA,7.6,NA,NA,NA,NA
63264728,NA,25,NA,10.444,9.5,8.5,NA,NA,NA,1.8
63264729,NA,26.667,NA,12.2,3.85,7.09,NA,NA,0.8,NA
63264731,NA,25,NA,10.444,9.5,8.5,NA,NA,NA,1.8
