"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63265319,NA,NA,NA,"yes"
63265320,NA,NA,NA,NA
63265321,3.048,6.096,NA,NA
63265322,3.048,6.858,NA,"yes"
63265323,2.438,9.144,NA,"yes"
63265324,3.048,9.906,NA,"yes"
63265327,5.486,8.229,NA,"yes"
63265331,4.572,8.382,NA,"yes"
63265332,4.572,7.62,NA,NA
63265333,6.096,9.753,NA,NA
63265336,6.096,9.144,NA,"yes"
63265337,2.133,2.743,NA,"yes"
63265338,3.048,6.096,NA,"yes"
63265340,4.572,7.62,NA,"yes"
63265342,3.962,10.667,NA,"yes"
63265343,6.096,10.667,NA,NA
63265345,3.048,6.858,NA,"yes"
63265347,3.048,7.62,NA,"yes"
63265351,NA,NA,NA,NA
63265352,4.572,9.144,NA,"yes"
63265355,NA,NA,NA,NA
63265356,NA,NA,NA,"no"
63265357,3.048,9.144,NA,"yes"
63265358,7.62,NA,NA,NA
63265359,3.81,NA,"yes","yes"
63265360,4.572,7.62,NA,NA
63265361,2.743,8.229,NA,"yes"
63265362,6.096,12.191,NA,"yes"
63265363,2.743,NA,NA,"yes"
63265366,4.572,NA,NA,"yes"
63265367,4.572,9.144,NA,"yes"
63265369,4.572,9.144,NA,"yes"
63265371,5.334,10.667,NA,"yes"
63265373,5.334,9.144,NA,"yes"
63265375,3.048,7.01,NA,"yes"
63265376,6.096,6.858,NA,"yes"
63265378,3.048,7.62,NA,NA
63265380,4.572,6.096,NA,"yes"
63265381,4.572,9.144,NA,"yes"
63265382,2.743,NA,NA,"yes"
63265383,5.334,9.144,NA,NA
63265384,3.048,8.229,NA,"yes"
63265385,6.096,9.144,NA,"yes"
63265387,3.048,9.753,NA,NA
63265388,4.572,9.144,NA,"yes"
63265393,3.048,6.096,NA,NA
63265394,4.572,9.144,NA,"yes"
63265395,4.572,9.144,NA,NA
63265396,NA,NA,NA,NA
63265397,4.572,9.144,NA,"yes"
63265398,4.572,9.144,NA,NA
63265405,6.096,7.62,NA,NA
63265409,4.572,9.144,"yes",NA
63265415,4.572,6.858,NA,NA
63265423,5.181,8.382,NA,NA
63265424,6.096,NA,"yes","yes"
63265427,6.096,10.667,NA,"yes"
63265434,3.048,5.181,NA,NA
63265436,7.62,9.144,"yes","yes"
63265439,NA,NA,NA,"no"
63265440,7.62,9.144,NA,"yes"
63265442,6.096,10.667,NA,"yes"
63265445,12.191,13.715,NA,"yes"
63265446,NA,NA,NA,NA
63265448,NA,NA,NA,NA
63265449,8.229,12.191,NA,"yes"
63265450,9.144,10.667,NA,"yes"
63265452,NA,NA,NA,NA
63265455,10.058,13.715,NA,"yes"
63265460,4.572,7.62,NA,NA
63265461,3.657,6.705,NA,NA
63265463,9.144,10.667,NA,NA
63265465,7.62,10.667,NA,NA
63265466,8.229,10.972,NA,"yes"
63265469,5.334,9.144,NA,"yes"
63265473,4.572,7.62,NA,"yes"
63265475,6.096,9.144,NA,NA
63265479,6.4,10.058,NA,"yes"
63265480,7.315,13.715,NA,"yes"
63265481,6.4,9.753,NA,NA
63265482,6.4,10.058,NA,"yes"
63265484,3.048,7.315,NA,"yes"
63265486,1.524,4.877,"yes","yes"
63265488,5.181,10.058,NA,NA
63265492,NA,NA,NA,NA
63265495,2.286,6.096,NA,NA
63265503,7.924,11.582,NA,NA
63265506,2.133,5.486,NA,NA
63265507,NA,NA,NA,NA
63265510,4.572,6.705,NA,"yes"
63265512,1.524,2.286,NA,NA
63265517,NA,NA,NA,NA
63265518,2.133,7.62,NA,NA
63265522,NA,NA,NA,"no"
63265525,1.524,3.048,NA,"yes"
63265526,3.353,6.4,NA,NA
63265527,NA,NA,NA,NA
63265533,6.096,10.058,NA,NA
63265542,NA,NA,NA,NA
63265544,NA,NA,NA,NA
63265546,NA,NA,NA,NA
63265550,NA,NA,NA,"no"
63265553,NA,NA,NA,NA
63265554,5.486,7.62,NA,"yes"
63265555,NA,NA,NA,NA
63265556,3.657,9.144,NA,"yes"
63265558,3.048,9.144,NA,"yes"
63265560,1.524,3.048,NA,NA
63265561,3.048,7.62,NA,"yes"
63265562,4.572,NA,NA,NA
63265566,NA,NA,NA,"no"
63265567,NA,NA,NA,NA
63265572,3.048,5.486,"yes","yes"
63265573,2.743,5.486,NA,"yes"
63265575,1.524,10.058,"yes",NA
63265577,6.096,8.229,NA,"yes"
63265580,3.81,6.096,NA,NA
63265581,3.048,7.62,NA,"yes"
63265582,3.81,6.096,NA,"yes"
63265583,3.657,NA,NA,NA
63265589,3.048,8.382,NA,NA
63265590,NA,NA,NA,"no"
63265591,3.048,8.382,NA,NA
63265592,NA,NA,NA,NA
63265593,NA,NA,NA,NA
63265595,6.705,NA,NA,"yes"
63265606,2.133,NA,NA,NA
63265608,6.096,9.144,NA,"yes"
63265609,7.62,12.191,NA,NA
63265611,NA,NA,NA,NA
63265613,4.572,5.486,NA,"yes"
63265617,6.096,9.144,NA,"yes"
63265622,1.524,4.572,"yes","yes"
63265624,0.762,3.048,"yes","yes"
63265626,4.572,7.924,"yes","yes"
63265628,NA,NA,NA,NA
63265630,NA,NA,NA,NA
63265631,1.524,4.267,NA,"yes"
63265633,4.877,5.791,NA,"yes"
63265639,NA,NA,NA,NA
63265640,NA,NA,NA,NA
63265646,3.81,5.334,NA,"yes"
63265647,6.096,13.715,NA,NA
63265648,NA,NA,NA,NA
63265649,NA,NA,NA,NA
63265652,6.096,12.496,"yes","yes"
63265653,NA,NA,NA,"no"
63265655,4.572,8.229,NA,"yes"
