"subject_id","min_shoal_pct","max_shoal_pct"
63265588,75,NA
63265589,10,NA
63265590,80,NA
63265591,10,NA
63265593,100,NA
63265594,100,NA
63265595,40,NA
63265597,15,NA
63265598,100,NA
63265601,50,NA
63265603,25,NA
63265605,100,NA
63265609,10,NA
63265610,100,NA
63265613,40,NA
63265614,50,NA
63265617,75,NA
63265620,60,NA
63265623,99,NA
63265624,100,NA
63265626,80,NA
63265629,30,NA
63265630,100,NA
63265633,90,NA
63265638,50,NA
63265639,100,NA
63265640,100,NA
63265642,100,NA
63265645,7,NA
63265648,98,NA
63265649,99,NA
63265651,100,NA
63265653,100,NA
63265654,95,NA
63265657,100,NA
63265658,100,NA
63265659,100,NA
63265660,50,NA
63265661,100,NA
63265662,100,NA
63265663,100,NA
63265667,25,NA
63265668,20,NA
63265669,NA,NA
63265670,30,NA
63265673,20,NA
63265674,85,NA
63265675,50,NA
63265676,25,NA
63265677,80,NA
63265678,60,NA
63265679,100,NA
63265680,65,NA
63265681,100,NA
63265682,100,NA
63265683,50,NA
63265684,35,NA
63265685,20,NA
63265686,25,NA
63265687,30,NA
63265688,90,NA
63265690,40,NA
63265691,30,NA
63265692,50,NA
63265693,50,NA
63265694,95,NA
63265695,25,NA
63265696,40,NA
63265697,70,NA
63265699,65,NA
63265701,30,NA
63265702,60,NA
63265704,75,NA
63265706,100,NA
63265707,62,NA
63265710,100,NA
63265711,90,NA
63265713,100,NA
63265718,100,NA
63265725,35,NA
63265728,35,NA
63265732,30,NA
63265734,50,NA
63265737,100,NA
63265738,100,NA
63265740,100,NA
63265742,100,NA
63265745,25,NA
63265746,10,NA
63265747,35,NA
63265748,100,NA
63265750,50,NA
63265751,100,NA
63265752,NA,NA
63265755,30,NA
63265757,30,NA
63265760,75,NA
63265761,85,NA
63265765,50,NA
63265766,75,NA
63265767,10,NA
63265768,100,NA
63265770,40,NA
63265771,35,NA
63265772,25,NA
63265773,80,NA
63265774,50,NA
63265775,30,NA
63265776,100,NA
63265777,40,NA
63265778,70,NA
63265780,90,NA
63265781,40,NA
63265782,15,NA
63265783,25,NA
63265784,100,NA
63265785,35,NA
63265787,100,NA
63265789,25,NA
63265791,90,NA
63265793,90,NA
63265795,100,NA
63265799,30,NA
63265801,50,NA
63265804,NA,NA
63265812,100,NA
63265813,50,NA
63265817,100,NA
63265825,100,NA
63265826,100,NA
63265830,100,NA
63265831,20,NA
63265832,95,NA
63265836,80,NA
63265837,62,NA
63265838,20,NA
63265839,100,NA
63265845,25,NA
63265846,35,NA
63265847,100,NA
63265849,15,NA
63265850,25,NA
63265852,30,NA
63265853,25,NA
63265854,35,NA
63265855,25,NA
63265856,65,NA
63265862,70,NA
63265863,100,NA
63265865,100,NA
63265866,NA,NA
63265870,50,NA
63265872,60,NA
63265873,95,NA
63265874,60,NA
63265875,30,NA
63265878,40,NA
63265879,70,NA
63265880,50,NA
63265881,75,NA
63265882,50,NA
63265883,50,NA
63265885,40,NA
63265886,50,NA
63265887,85,NA
63265888,80,NA
63265890,90,NA
63265893,100,NA
63265895,75,NA
63265897,95,NA
63265898,20,NA
63265899,80,NA
63265900,95,NA
63265901,95,NA
63265906,100,NA
63265910,53,NA
63265911,60,NA
63265912,98,NA
63265913,25,NA
63265914,98,NA
63265916,60,NA
63265917,60,NA
63265918,90,NA
63265923,100,NA
63265924,60,NA
63265926,60,NA
63265927,60,NA
63265930,100,NA
63265931,33,NA
63265932,50,60
63265933,85,NA
63265934,90,NA
63265936,100,NA
63265938,1,NA
63265941,100,NA
63265944,100,NA
63265946,38,NA
63265949,30,NA
63265951,40,NA
63265953,10,NA
63265955,50,NA
63265956,90,NA
63265957,85,NA
