subject_id,new_key,lakename,county,url_front,url_back,comments
59106028,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_031.jpeg,
59106029,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_028.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_027.jpeg,
59106030,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_030.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_029.jpeg,
59106031,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_009.jpeg,
59106032,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_025.jpeg,
59106579,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_160.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_159.jpeg,
59106583,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_156.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_155.jpeg,
59106584,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_152.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_151.jpeg,
59106585,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_154.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_153.jpeg,
59106586,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_139.jpeg,
59106587,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_158.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_157.jpeg,
59106588,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_082.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_081.jpeg,
59106589,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_068.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_067.jpeg,
59106590,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_066.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_065.jpeg,
59106591,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_138.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_137.jpeg,
59106592,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_064.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_063.jpeg,
59106593,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_059.jpeg,
59106594,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_062.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_061.jpeg,
59106595,69-1,BEARBIG,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_050.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Bear_FISHc_049.jpeg,
