subject_id,Filename,Reason for Removal,Removed?
58642826,Oscoda_Loon_GROW_20191210110921507_0003.jpg,duplicate,
58642878,Washtenaw_Horseshoe_GROW_20200224134848447_0090.jpeg,duplicate,
58642880,Washtenaw_Joslin_GROW_20200225125514132_0016.jpeg,duplicate,
58642881,Washtenaw_Joslin_GROW_20200225125514132_0018.jpg,duplicate,
58642882,Washtenaw_Joslin_GROW_20200225125514132_0070.jpeg,duplicate,
58642883,Washtenaw_Joslin_GROW_20200225125514132_0020.jpg,duplicate,
58642884,Washtenaw_Joslin_GROW_20200225125514132_0068.jpeg,duplicate,
58642885,Washtenaw_SisterLakes_GROW_Washtenaw_SisterLakes_GROW_20200218135857211_0005.jpeg,duplicate,
58746037,Washtenaw_Winnewanna_GROW_019.jpeg,duplicate,
58746041,Washtenaw_Dead2_GROW_20200218133112870_0035.jpg,duplicate,
58754042,Cheboygan_WildwoodLittle_GROW_001.jpg,duplicate,
58755177,Lake_BigStar_GROW_20191127121717998_0003.jpeg,duplicate,
58755178,Lake_BigStar_GROW_20191127121745299_0001.jpeg,duplicate,
58755179,Lake_BigStar_GROW_20191127123028804_0001.jpg,duplicate,
58755180,Lake_BigStar_GROW_20191127122601005_0001.jpg,duplicate,
58755182,Lake_BigStar_GROW_20191127121745299_0005.jpeg,duplicate,
58755265,Washtenaw_Argo_GROW_20200203130132622_0019.jpeg,duplicate,
58755267,Washtenaw_Barton_GROW_20200203131647465_0019.jpeg,duplicate,
58755268,Washtenaw_Barton_GROW_20200203132921652_0005.jpeg,duplicate,
58755269,Washtenaw_Blind_81-5_1985_GROW_001_01.jpeg,duplicate,
58755271,Washtenaw_Bruin_GROW_20200218105324808_0014.jpg,duplicate,
58755272,Washtenaw_Cassidy_GROW_20200218112930810_0023.jpeg,duplicate,
58755273,Washtenaw_Cassidy_GROW_20200218112930810_0025.jpeg,duplicate,
58755274,Washtenaw_Cassidy_GROW_20200218112930810_0033.jpg,duplicate,
58755275,Washtenaw_Cassidy_GROW_20200218112930810_0027.jpg,duplicate,
58755276,Washtenaw_Cassidy_GROW_20200218112930810_0035.jpeg,duplicate,
58755277,Washtenaw_Cavanaugh_GROW_20200218114608565_0007.jpeg,duplicate,
58755278,Washtenaw_Crooked1_GROW_20200218124543668_0007.jpeg,duplicate,
