"new_key","lat_dd","long_dd","mdnrid","nhdid"
"12-86",41.84999,-84.96676,"L20974","155637334"
"12-87",41.86693,-85.03704,"L22854","155637297"
"12-88",41.86249,-85.03954,"L18439","155637314"
"12-89",41.84999,-85.04176,"L14578","155637467"
"12-9",42.06082,-85.00926,"L15488","155636191"
"12-90",41.82304,-84.97565,"L22642","155637570"
"12-92",41.83721,-85.0537,"L21591","{25DAD8F3-D4ED-4AA8-B08A-11AED376D954}"
"12-93",41.89138,-85.12315,"L22763","155637181"
"12-94",41.88443,-85.13148,"L14509","155637239"
"12-97",41.86832,-85.1637,"L16683","155637357"
"12-98",41.80888,-84.91842,"L14510","155637561"
"13-101",42.39693,-85.10426,"L22246","152518018"
"13-104",42.39832,-85.08926,"L22308","152518016"
"13-105",42.3886,-85.09176,"L22772","152518049"
"13-106",42.39638,-85.09398,"L21995","152518023"
"13-107",42.39832,-85.09565,"L21210","152518010"
"13-108",42.40027,-85.09731,"L21210","152518010"
"13-119",42.37915,-85.18093,"L14946","152518081"
"13-132",42.33693,-85.17565,"L16186","152518222"
"13-143",42.4186,-85.20565,"L20177","152517940"
"13-144",42.41304,-85.21676,"L19527","152517956"
"13-147",42.41693,-85.28259,"L17469","152517943"
"13-150",42.39609,-85.28183,NA,NA
"13-151",42.39821,-85.25224,"L21214","152518021"
"13-16",42.3693,-84.73702,"L11590","152518111"
"13-17",42.36349,-84.7534,"L1507","{56353A9A-4727-4DF3-944B-292A37A8E730}"
"13-170",42.39002,-85.24819,"L16923","152518059"
"13-173",42.38693,-85.27176,"L19406","152518067"
"13-178",42.36638,-85.20898,"L17470","152518126"
"13-18",42.35446,-84.75321,"L12604","152518152"
"13-19",42.35043,-84.75597,"L68","152518166"
"13-20",42.35565,-84.75768,"L6206","{837D72B4-F766-4CD1-BD3F-5DDAD263538B}"
"13-203",42.30416,-84.81259,"L9740","152518313"
"13-204",42.3086,-84.77843,"L14163","152518291"
"13-21",42.35729,-84.75787,"L5857","{A81591D6-D688-4CD4-99A9-E2F032DFDED9}"
"13-212",42.2961,-84.78343,"L11816","152518348"
"13-216",42.27166,-84.79537,"L4973","152518385"
"13-22",42.35086,-84.76456,"L6640","152518165"
"13-224",42.31943,-84.8937,"L7467","152518265"
"13-23",42.34554,-84.79565,"L8038","152518193"
"13-238",42.30221,-84.90093,"L1584","152518327"
"13-240",42.27943,-84.91343,"L12122","152518377"
"13-243",42.26048,-84.89855,"L13345","152518412"
"13-246",42.259909,-84.93361,"L48431","152518720"
"13-264",42.30804,-85.04759,"L21260","152518306"
"13-27",42.33277,-84.72537,"L3671","152518220"
"13-274",42.31069,-84.99738,"L15159","152518298"
"13-302",42.2711,-84.99481,"L19756","152518395"
"13-303",42.26981,-85.06007,NA,NA
"13-306",42.32443,-85.0612,"L18356","152518254"
"13-307",42.32221,-85.06315,"L21685","152518260"
"13-315",42.30751,-85.14182,NA,NA
"13-316",42.31721,-85.12565,"L15158","152518277"
"13-318",42.31415,-85.12843,"L16031","152518288"
"13-32",42.39304,-84.90231,NA,NA
"13-326",42.31332,-85.07454,"L14171","152518289"
"13-337",42.2911,-85.14398,"L22598","152518361"
"13-340",42.27582,-85.14676,"L18211","152518375"
"13-352",42.32054,-85.26509,"L21817","152518269"
"13-355",42.30749,-85.28287,"L16494","152518305"
"13-358",42.30953,-85.18254,"L15382","152518301"
"13-359",42.28888,-85.21037,"L21863","152518350"
"13-36",42.36499,-84.92537,"L13340","152518129"
"13-37",42.36554,-84.94509,"L7284","152518130"
"13-379",42.24693,-85.20815,"L16438","152518447"
"13-388",42.23999,-84.79648,"L391","152518448"
"13-398",42.1984,-84.74344,"L4943","152518539"
"13-402",42.17332,-84.81648,"L2999","152518571"
"13-41",42.40971,-84.9837,"L17980","152517957"
"13-412",42.23332,-84.93759,"L7430","152518480"
"13-413",42.22721,-84.94565,"L9571","{146F3AE1-2C3D-46AF-9ACA-F6A7CC8B514C}"
"13-414",42.227,-84.908,"L4273","152518486"
"13-422",42.24027,-84.98204,"L13879","152518462"
"13-446",42.2186,-84.94815,"L7318","152518503"
"13-447",42.2257,-84.95583,"L14154","152518490"
"13-449",42.21388,-84.97731,"L18616","152518519"
"13-45",42.41971,-85.00981,"L20289","152517928"
"13-450",42.21166,-84.99454,"L15143","152518513"
"13-451",42.20826,-85.02433,"L21724","155635800"
"13-457",42.19499,-84.97898,"L15062","155635812"
"13-459",42.19332,-84.9737,"L18294","155635808"
"13-460",42.1886,-84.96704,"L22580","155635817"
"13-461",42.18027,-84.97843,"L16820","155635833"
"13-462",42.16282,-84.98981,"L17788","155635868"
"13-463",42.15897,-84.98677,"L16300","155635912"
"13-466",42.2161,-85.17093,"L20920","155635807"
"13-47",42.41804,-85.03204,"L15056","152517934"
"13-472",42.20999,-85.07315,"L20297","155635805"
"13-48",42.3978,-84.99255,"L15547","152518013"
"13-487",42.17943,-85.11843,"L17233","155635854"
"13-491",42.23693,-85.23704,"L15714","152518470"
"13-492",42.22443,-85.22926,"L18293","152518496"
"13-493",42.21971,-85.1937,"L22301","152518491"
"13-50",42.40471,-84.95426,"L934","152517987"
"13-508",42.14634,-84.80092,"L49012",NA
"13-512",42.13832,-84.8237,"L1341","155635899"
"13-52",42.40304,-84.96454,"L20191","152517993"
"13-525",42.07999,-84.79398,"L4623","152518658"
"13-534",42.09166,-84.83398,"L12537","155636049"
"13-537",42.14943,-85.05009,"L21677","155635929"
"13-539",42.13749,-84.99815,"L20651","155635937"
"13-548",42.09082,-84.95731,"L14787","155636108"
"13-549",42.09027,-84.96704,"L22645","155636116"
"13-553",42.07925,-85.00649,"L16226","18ac8dbd-61cb-423b-bd60-acac732eed80"
"13-554",42.08249,-85.00537,"L21312","155636146"
"13-555",42.08304,-84.96676,"L19705","155636140"
"13-558",42.10665,-85.12704,"L22217","155636091"
"13-576",42.10176,-85.00161,"L21961","155636075"
"13-577",42.31213,-84.89734,"L315","152518282"
"13-578",42.21998,-84.95867,"L12347","152518499"
"13-579",42.13634,-84.99337,"L18216","155635940"
"13-58",42.36416,-84.98676,"L2672","152518127"
"13-580",42.26431,-84.89071,"L5044","152518405"
"13-581",42.19986,-85.26992,"L16087","152518546"
"13-582",42.09737,-84.99906,"L17950","155636098"
"13-583",42.41209,-85.19368,"L16082","152517959"
"13-584",42.28855,-85.20489,"L16048","152518364"
"13-585",42.38235,-85.12021,"L14301","152518077"
"13-77",42.3411,-84.96259,"L4656","152518186"
"13-89",42.41388,-85.10759,"L18748","152517952"
"13-9",42.38582,-84.78593,"L4862","152518003"
"13-96",42.40731,-85.17681,"L20740","152517975"
"13-97",42.40138,-85.17231,"L18490","152517990"
"14-1",42.06688,-85.76764,"L25438","155636445"
