subject_id,workflow_id,subject_set_id,Full Subject Set Name,filename_1,filename_2,url_1,url_2,Notes
58746607,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_022.jpeg,Otsego_Big_GROW_021.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_021.jpeg,"duplicate
"
59687927,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_022.jpeg,Otsego_Big_GROW_021.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_021.jpeg,"duplicate
"
58746606,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_032.jpeg,Otsego_Big_GROW_031.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_031.jpeg,"duplicate
"
59687926,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_032.jpeg,Otsego_Big_GROW_031.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_031.jpeg,"duplicate
"
58746604,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_034.jpeg,Otsego_Big_GROW_033.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_034.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_033.jpeg,"duplicate
"
59687928,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_034.jpeg,Otsego_Big_GROW_033.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_034.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_033.jpeg,"duplicate
"
58746603,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_036.jpeg,Otsego_Big_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_036.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_035.jpeg,"duplicate
"
59687925,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_036.jpeg,Otsego_Big_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_036.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_035.jpeg,"duplicate
"
58746605,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_038.jpeg,Otsego_Big_GROW_037.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_037.jpeg,"duplicate
"
59687920,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_038.jpeg,Otsego_Big_GROW_037.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_037.jpeg,"duplicate
"
