subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
72069594,59962683,T46,[['14.8']],1,1,14.8,14.8,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069601,59962696,T3,[['5.2']],1,1,5.2,5.2,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_WILLIAMS_GROW_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_WILLIAMS_GROW_0008_2.jpeg,
72069601,59962696,T9,[['6.2']],1,1,6.2,6.2,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_WILLIAMS_GROW_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_WILLIAMS_GROW_0008_2.jpeg,
72069607,59962733,T4,[['5.0']],1,1,5,5,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BERRIEN_PAWPAWBIG_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BERRIEN_PAWPAWBIG_GROW_0001_2.jpeg,
72069607,59962733,T16,[['7.2']],1,1,7.2,7.2,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BERRIEN_PAWPAWBIG_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BERRIEN_PAWPAWBIG_GROW_0001_2.jpeg,
72069612,59962741,T3,[['5.8']],1,1,5.8,5.8,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CARY_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CARY_GROW_0002_2.jpeg,
72069613,59962744,T27,"[['11.6', '7.7-8.9', '11.6-11.6']]",3,1,11.6,11.6,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CEMETARY_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CEMETARY_GROW_0001_2.jpeg,
72069613,59962744,T33,"[['11.1', '8.2-8.8', '11.1-11.1']]",3,1,11.1,11.1,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CEMETARY_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CEMETARY_GROW_0001_2.jpeg,
72069618,59962743,T2,"[['11', '4']]",2,1,11,4,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_COLDWATER_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_COLDWATER_GROW_0001_2.jpeg,
72069622,59962750,T9,[['9.3']],1,1,9.3,9.3,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CRAIG_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_CRAIG_GROW_0001_2.jpeg,
72069651,59962778,T3,[['6.9']],1,1,6.9,6.9,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_MORRISON_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_MORRISON_GROW_0004_2.jpeg,
72069658,59962795,T15,"[['7.3-10.3', '7.3-10.6']]",2,1,7.3-10.3,7.3-10.3,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_UNION_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BRANCH_UNION_GROW_0002_2.jpeg,
72069664,59962796,T27,[['11.2']],1,1,11.2,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BEADLE_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BEADLE_GROW_0002_2.jpeg,
72069668,59962803,T9,"[['8.2-9.0', '0', '---']]",3,1,8.2-9.0,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
72069668,59962803,T10,"[['8.7', '0', '---']]",3,1,8.7,NA,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
72069668,59962803,T15,"[['10.0', '8.2-9', '8.2-9.0']]",3,1,10,8.2-9.0,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
72069668,59962803,T21,"[['10', '10.0']]",2,1,10,10,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
72069668,59962803,T22,"[['10', '10.0']]",2,1,10,10,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
72069722,58753955,T2,[['1']],1,1,1,1,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
72069722,58753955,T3,[['8.8']],1,1,8.8,8.8,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
