subject_id,URL 4,URL 8,workflow_id,task,data.value
80048664,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/WASHTENAW_MILL_GROW_0001_6.jpeg,,20630,T13,[{'V / 5': 3}]
80048664,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/WASHTENAW_MILL_GROW_0001_6.jpeg,,20630,T19,[{'VI / 6': 3}]
80048679,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_049.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_050.jpeg,20630,T1,[{'I / 1': 3}]
80048679,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_049.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_050.jpeg,20630,T7,[{'II / 2': 3}]
80048679,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_049.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_050.jpeg,20630,T13,[{'III / 3': 3}]
80048679,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_049.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_050.jpeg,20630,T19,[{'IV / 4': 3}]
80048679,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_049.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Livingston_Bishop_GROW_050.jpeg,20630,T25,[{'V / 5': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T1,[{'II / 2': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T7,[{'IV / 4': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T13,[{'V / 5': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T19,[{'VI / 6': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T25,[{'VII / 7': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T31,[{'VIII / 8': 3}]
80048681,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_16.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OAKLAND_WHITE_GROW_0020_17.jpeg,20630,T37,[{'IX / 9 ': 3}]
80048682,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_5.jpeg,20630,T1,[{'I / 1': 3}]
80048682,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_5.jpeg,20630,T7,[{'II / 2': 3}]
80048682,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_LONGLK_GROW_0001_5.jpeg,20630,T13,[{'III / 3': 3}]
80048683,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_RIFLET23NR4ES56_GROW_0014_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_RIFLET23NR4ES56_GROW_0014_5.jpeg,20630,T1,[{'II / 2': 3}]
80048683,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_RIFLET23NR4ES56_GROW_0014_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/OGEMAW_RIFLET23NR4ES56_GROW_0014_5.jpeg,20630,T7,[{'III / 3': 3}]
80048684,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_9.jpeg,20630,T1,[{'II / 2': 3}]
80048684,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_9.jpeg,20630,T7,[{'III / 3': 3}]
80048684,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_9.jpeg,20630,T13,[{'IV / 4': 3}]
80048684,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_9.jpeg,20630,T19,[{'V / 5': 3}]
80048684,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/WASHTENAW_BIGSILVER_GROW_0001_9.jpeg,20630,T25,[{'VI / 6': 3}]
