subject_id,metadata,filename,T6,T8,T9,T10,T12,county,lakename,TR,matching,new key,Notes
58754391,"{""id"":""Gladwin_Trout_GROW_044.jpg_Gladwin_Trout_GROW_045.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_044.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_045.jpg""}",Gladwin_Trout_GROW_044.jpg_Gladwin_Trout_GROW_045.jpg,,20N,2W,"8,9 9",L. Stankowski D. R. Peterson,Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58687403,"{""id"":""Gladwin_TwentyLittle_SUMM_003.jpg_Gladwin_TwentyLittle_SUMM_004.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_TwentyLittle_SUMM_003.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_TwentyLittle_SUMM_004.jpg""}",Gladwin_TwentyLittle_SUMM_003.jpg_Gladwin_TwentyLittle_SUMM_004.jpg,,18N,2W,20,"Local people, Jack R. Hammond Dist. Fish. Supvr.",Gladwin,TWENTYLITTLE,T18NR2W,TWENTYLITTLE  Gladwin T18NR2W,26-8,
58754395,"{""id"":""Gladwin_Twenty (Little)_GROW_007.jpg_Gladwin_Twenty (Little)_GROW_008.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Twenty (Little)_GROW_007.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Twenty (Little)_GROW_008.jpg""}",Gladwin_Twenty (Little)_GROW_007.jpg_Gladwin_Twenty (Little)_GROW_008.jpg,,18N,2W,20,J. Hammond P. W. Laarman,Gladwin,TWENTYLITTLE,T18NR2W,TWENTYLITTLE  Gladwin T18NR2W,26-8,
58642970,"{""id"":""Gladwin_Wiggins_LIMN_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Wiggins_LIMN_003.jpg""}",Gladwin_Wiggins_LIMN_003.jpg,,19N,2W,"33,34 34",J.P. P. Baker,Gladwin,WIGGINS,T19NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58642971,"{""id"":""Gladwin_Wiggins_LIMN_177.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Wiggins_LIMN_177.jpg""}",Gladwin_Wiggins_LIMN_177.jpg,,"18N,19N 19N",02W,many,Shepherd,Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58687401,"{""id"":""Gladwin_Wiggins_SUMM_018.jpg_Gladwin_Wiggins_SUMM_019.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Wiggins_SUMM_018.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Wiggins_SUMM_019.jpg""}",Gladwin_Wiggins_SUMM_018.jpg_Gladwin_Wiggins_SUMM_019.jpg,,"18,19N 19N",2W,Many,"S. Hedges, R. Ellis, E. Powlison",Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754392,"{""id"":""Gladwin_Wiggins_GROW_020.jpg_Gladwin_Wiggins_GROW_021.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_020.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_021.jpg""}",Gladwin_Wiggins_GROW_020.jpg_Gladwin_Wiggins_GROW_021.jpg,,"18, 19N",2W,Many,Dist. 8,Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754393,"{""id"":""Gladwin_Wiggins_GROW_022.jpg_Gladwin_Wiggins_GROW_023.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_022.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_023.jpg""}",Gladwin_Wiggins_GROW_022.jpg_Gladwin_Wiggins_GROW_023.jpg,2/5/73,19N,2W,"33,34 , 34","E. Hamilton , K. Lake",Gladwin,WIGGINS,T19NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754394,"{""id"":""Gladwin_Wiggins_GROW_028.jpg_Gladwin_Wiggins_GROW_029.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_028.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_029.jpg""}",Gladwin_Wiggins_GROW_028.jpg_Gladwin_Wiggins_GROW_029.jpg,5-12-66,19N,2W,Many,L. Stankowski,Gladwin,WIGGINS,T19NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754396,"{""id"":""Gladwin_Wiggins_GROW_030.jpg_Gladwin_Wiggins_GROW_031.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_030.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_031.jpg""}",Gladwin_Wiggins_GROW_030.jpg_Gladwin_Wiggins_GROW_031.jpg,,"18,19N 19n",2W,many,D. R. Peterson P. W. Laarman,Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754397,"{""id"":""Gladwin_Wiggins_GROW_161.jpg_Gladwin_Wiggins_GROW_162.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_161.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_162.jpg""}",Gladwin_Wiggins_GROW_161.jpg_Gladwin_Wiggins_GROW_162.jpg,,19N,2W,"33, 34","M. Phillips, K. Kruger, K. Reed",Gladwin,WIGGINS,T19NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754398,"{""id"":""Gladwin_Wiggins_GROW_163.jpg_Gladwin_Wiggins_GROW_164.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_163.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_164.jpg""}",Gladwin_Wiggins_GROW_163.jpg_Gladwin_Wiggins_GROW_164.jpg,,19N,2W,"33,34 34","M. Phillips, K. Kruger, K. Reed",Gladwin,WIGGINS,T19NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754400,"{""id"":""Gladwin_Wiggins_GROW_169.jpg_Gladwin_Wiggins_GROW_170.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_169.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_170.jpg""}",Gladwin_Wiggins_GROW_169.jpg_Gladwin_Wiggins_GROW_170.jpg,,"18N, 19W","2W, 2W","4, 4,27,28,33,34 28, 33, 34","E. Smiddy, C. Jeffery",Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
58754401,"{""id"":""Gladwin_Wiggins_GROW_068.jpg_Gladwin_Wiggins_GROW_069.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_068.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_069.jpg""}",Gladwin_Wiggins_GROW_068.jpg_Gladwin_Wiggins_GROW_069.jpg,,"18, 19N",2W,Many,"J. MacGregor, J. Hammond P. W. Laarman",Gladwin,WIGGINS,T18NR2W,WIGGINS  Gladwin T19NR2W,26-4,
