subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
59966598,"[['', '', '1'], ['', '', '-'], ['1-55', '1-55', '55']]",1.333333333,1/1/55, 1-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0005_2.jpeg,
59966601,"[['', '3', ''], ['', '-', ''], ['3-55', '55', '3-55']]",1.333333333,3/3/55, 3-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0007_2.jpeg,
59966603,"[['6', '', ''], ['-', '', ''], ['55', '6-55', '6-55']]",1.333333333,6/6/55, 6-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0010_2.jpeg,
59966606,"[['7B-55', '7B-55', '7B'], ['', '', '-'], ['', '', '55']]",1.333333333,7B-55 - 55,7B-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0012_2.jpeg,
59966608,"[['10-55', '10-55', '10'], ['', '', '-'], ['', '', '55']]",1.333333333,10-55 - 55, 10-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0016_2.jpeg,
59966609,"[['', '9', ''], ['', '-', ''], ['9-55', '55', '9-55']]",1.333333333,9/9/55, 9-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0015_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0015_2.jpeg,
59966639,"[['', '1', ''], ['', '-', ''], ['1-212-50', '212', '1-212-50'], ['', '-', ''], ['', '50', '']]",1.2,1 - 1-212-50 - 50,1-212-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_LONG8S13WSECSMANY_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_LONG8S13WSECSMANY_FISHc_0002_2.jpeg,
59966858,"[['', '', '5'], ['', '', '-'], ['5-56-50', '5-56-50', '56'], ['', '', '-'], ['', '', '50']]",1.2,5 - 5-56-50 - 50,5-56-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_059.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_060.jpg,
59966862,"[['', '9', ''], ['', '-', ''], ['9-60-50', '60', '9-60-50'], ['', '-', ''], ['', '50', '']]",1.2,9 - 9-60-50 - 50,9-60-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_067.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_068.jpg,
59966865,"[['13-64-50', '13-64-50', '13'], ['', '', '-'], ['', '', '64'], ['', '', '-'], ['', '', '50']]",1.2,13-64-50 - 64 - 50,13-64-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_076.jpg,
59966866,"[['5', '', '', ''], ['-', '', '', ''], ['66', '', '', ''], ['-50', '15-66-50', '15-66-50', '15-66-50']]",1.5,5 - 66 15-66-50,15-66-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_079.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_080.jpg,
59966868,"[['11-62-50', '11', '11-62-50'], ['', '-', ''], ['', '62', ''], ['', '-', ''], ['', '50', '']]",1.2,11-62-50 - 62 - 50,11-62-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_071.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_072.jpg,
59966871,"[['19', '19-70-50', '19-70-50'], ['-', '', ''], ['70', '', ''], ['-', '', ''], ['50', '', '']]",1.2,19-70-50 - 70 - 50,19-70-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_087.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_088.jpg,
59966874,"[['21-72-50', '21', '21-72-50'], ['', '-', ''], ['', '72', ''], ['', '-', ''], ['', '50', '']]",1.2,21-72-50 - 72 - 50,21-72-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_091.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_092.jpg,
59966876,"[['22-73-50', '22', '22-73-50', '22-73-50'], ['', '-', '', ''], ['', '73', '', ''], ['', '-', '', ''], ['', '50', '', '']]",1.4,22-73-50 - 73 - 50,22-73-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_093.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_094.jpg,
59966877,"[['24', '24-75-50', '24-75-50'], ['-', '', ''], ['75', '', ''], ['-', '', ''], ['50', '', '']]",1.2,24-75-50 - 75 - 50,24-75-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_097.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_098.jpg,
59966880,"[['27-78-50', '27-78-50', '27'], ['', '', '-'], ['', '', '78'], ['', '', '-'], ['', '', '50']]",1.2,27-78-50 - 78 - 50,27-78-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_109.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_110.jpg,
59966881,"[['28-79-50', '28-79-50', '28'], ['', '', '-'], ['', '', '79'], ['', '', '-'], ['', '', '50']]",1.2,28-79-50 - 79 - 50,28-79-50 ,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_111.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Devils_FISHc_112.jpg,
59966889,"[['18', '18', ''], ['-', '-', ''], ['98', '98', ''], ['', '-', ''], ['-50', '50', '18-98-50']]",1.6,18 - 98 - -50,18-98-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_018.jpg,
59966892,"[['2', ''], ['-', ''], ['82', '2-82-50'], ['-', ''], ['50', '']]",1,2 - 82 - 50,2 - 82 - 50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_024.jpg,
59966893,"[['', '', '5'], ['', '', '-'], ['', '', '85'], ['5-85-50', '5-85-50', '-50']]",1.25,5 - 85 5-85-50,5-85-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_030.jpg,
59966895,"[['', '', '9'], ['', '', '-'], ['9-89-50', '9-89-50', '89'], ['', '', '-'], ['', '', '50']]",1.2,9 - 9-89-50 - 50,9-89-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_034.jpg,
59966900,"[['14-94-50', '14-94-50', '14'], ['', '', '-'], ['', '', '94'], ['', '', '-'], ['', '', '50']]",1.2,14-94-50 - 94 - 50,14-94-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_043.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_044.jpg,
59966904,"[['', '', '7'], ['', '', '-'], ['7-87-50', '7-87-50', '87'], ['', '', '-'], ['', '', '50']]",1.2,7 - 7-87-50 - 50,7-87-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Lenawee_Round6S_FISHc_1E_FISHc_S2-11_FISHc_054.jpg,
59966929,[['IFR']],1,IFR,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Bishop_FISHc_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Bishop_FISHc_024.jpg,
59967025,"[['', 'P', ''], ['P4128', '4128', 'P4128']]",1.5,P P4128,P4128,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_PortageBig_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_PortageBig_FISHc_196.jpg,
59967046,"[['1', '', ''], ['-54', '1-54', '1-54']]",1.5,1 1-54, 1-54,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_053.jpg,
59967052,"[['', '5', ''], ['', '-', ''], ['5-54', '54', '5-54']]",1.333333333,5/5/54, 5-54,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_061.jpg,
