subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments,
59965129,"[['9', '9', '9AM-'], ['a.m.', 'A.M.', '7AM'], ['-', '-', ''], ['7', '7', ''], ['a.m.', 'A.M.', '']]",1.6,9 a.m. - 7 a.m.,9 a.m. - 7 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0082_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0082_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0082_2.jpeg,
59965130,"[['8:00', '8', '8:'], ['am', 'A.M.', 'A.M.'], ['-', '-', '-'], ['9:00', '9', ''], ['am', 'A.M.', '9AM']]",1.6,8:00 A.M. - 9:00 am,8:00 A.M. - 9:00 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0083_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0083_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0083_2.jpeg,
59965138,"[['10:30', '10:30'], ['a.m.', 'am'], ['-', '-'], ['10:30', '10:30'], ['a.m.', 'am']]",1.6,10:30 a.m. - 10:30 a.m.,10:30 a.m. - 10:30 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0090_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0090_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0090_2.jpeg,
59965139,"[['10', '10'], ['a.m.', 'A.M.'], ['-', '-'], ['6', '6'], ['p.m.', 'P.M.']]",1.6,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0092_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0092_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0092_2.jpeg,
59965188,"[['9:35', '9:35AM-9:50AM', '9:35', '9:35AM-9:50AM'], ['am', '', 'AM', ''], ['-', '', '-', ''], ['9:50', '', '9:50', ''], ['am', '', 'AM', '']]",1.6,9:35 am - 9:50 am,9:35 am - 9:50 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0007_2.jpeg,
59965192,"[['4:30', '4:30PM-9:15AM', '4:30'], ['pm', '', 'PM'], ['-', '', '-'], ['9:15', '', '9:15'], ['am', '', 'AM']]",1.6,4:30 pm - 9:15 am,4:30 pm - 9:15 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0010_2.jpeg,
59965200,"[['3:55', '3:55', '3:55PM-9:00AM'], ['PM', 'pm', ''], ['-', '-', ''], ['9:00', '9:00', ''], ['AM', 'am', '']]",1.6,3:55 PM - 9:00 AM,3:55 PM - 9:00 AM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0018_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0018_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_BEAUFORT_FISHc_0018_2.jpeg,
59965239,"[['10:50', '10:50', '10:50AM-10:20AM'], ['am', 'AM', ''], ['-', '-', ''], ['10:20', '10:20', ''], ['am', 'AM', '']]",1.6,10:50 am - 10:20 am,10:50 am - 10:20 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0007_2.jpeg,
59965253,"[['2:00', '2:00-3:00', '2:00', '2:00PM-3PM'], ['PM', 'pm', 'P.M.', ''], ['-', '', '-', ''], ['3', '', '3', ''], ['PM', '', 'P.M.', '']]",1.6,2:00 PM - 3 PM,2:00 PM - 3 PM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0010_2.jpeg,
59965257,"[['9', '9', '9:00'], ['P.M.', 'PM-8', 'p.m.'], ['-', '', '-'], ['8', '', '8'], ['A.M.', 'AM', 'a.m.']]",1.6,9 P.M. - 8 A.M.,9 P.M. - 8 A.M.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_CRAIG_FISHc_0012_2.jpeg,
