subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back
58753198,"[[""4-14'"", '4-14', ""4-14'"", '4'], ['', 'ft', '', '-'], ['', '', '', ""14'""]]",1.333333333,4-14' ft 14',4-14 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_078.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_079.jpg
58753199,"[['22-25', ""22-25'"", '22', ""22-25'""], ['ft', '', '-', ''], ['', '', '25', ''], ['', '', ""'"", '']]",1.25,22-25' ft 25 ',22-25 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_080.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_081.jpg
58753200,"[['', '3', ''], ['', '-', ''], [""3-5'"", ""5'"", ""3-5'""]]",1.333333333,3 - 3-5',3-5 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_077.jpg
58753201,"[['', '', '67`', '22'], ['', '', '', '-'], [""22-30'"", ""22-30'"", '', ""30'""]]",1.333333333,67` - 22-30',22-30 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_082.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_083.jpg
58753206,"[[""8-9'"", '8', ""8-9'"", '8-9'], ['', '-', '', 'ft'], ['', ""9'"", '', '']]",1.333333333,8-9' - 9',8-9 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_090.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_091.jpg
58753241,"[[""4'-10'"", '4', ""4-10'"", ""4'""], ['', 'ft', '', ''], ['', '-', '', '-'], ['', '10', '', ""10'""], ['', 'ft', '', '']]",1.2,4'-10' ft - 10 ft,4-10 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Thayers_FISHc_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Thayers_FISHc_013.jpg
58753276,"[['4-10', '4', ""4-10'""], ['', '-', ''], ['', '10', ''], ['feet', 'feet', '']]",1.25,4-10 - 10 feet,4-10 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_BigStar_FISHc_20191127124731335_0019.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_BigStar_FISHc_20191127124731335_0020.jpg
58753287,"[[""10'"", ""10-40'"", ""10'-40'"", '10'], ['', '', '', 'ft'], ['-', '', '', '-'], [""40'"", '', '', '40'], ['', '', '', 'ft']]",1.2,10' ft - 40' ft,10-40 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Harper_FISHc_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Harper_FISHc_026.jpg
58753292,"[[""6-30'"", ""6'-30'"", ""6'-30'"", ""6'""], ['', '', '', '-'], ['', '', '', ""30'""]]",1.333333333,6'-30' - 30',6-30 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Harper_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Harper_FISHc_036.jpg
58753294,"[['0', '0’', ""0-6'"", ""0'-6'""], ['ft', '', '', ''], ['-', '-', '', ''], ['6', '6’', '', ''], ['ft', '', '', '']]",1.2,0 ft - 6 ft,0-6 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Howes_FISHc_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Howes_FISHc_005.jpg
58753487,"[['5-18ft', '5', '5-18'], ['', '-', ''], ['', '18', ''], ['', 'ft', 'ft.']]",1,5-18ft - 18 ft,5-18 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lapeer_MinnewannaLake_FISHc_071.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lapeer_MinnewannaLake_FISHc_072.jpg
58753519,"[[""6'-12'"", '6""-12\'', '6""-12\'', '6""'], ['', '', '', '-'], ['', '', '', ""12'""]]",1.333333333,"6""-12' - 12'",0.5-12 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Jacobena_FISHc_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Lloyds_FISHc_10.jpeg
