subject_id,new_key,lakename,county,url_front,url_back,,Comments
59969755,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0002_2.jpeg,,"Original new_key 63-179, original name CAMPDEARBORN, humphries has LAKE #1 CAMP DEARBORN as name"
59969756,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0001_2.jpeg,,
59969757,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0003_2.jpeg,,
59969758,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0004_2.jpeg,,
59969759,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0005_2.jpeg,,
59969760,63-179,CAMPDEARBORN2,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN2_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN2_FISHc_0002_2.jpeg,,Original new_key 63-180
59969761,63-180,CAMPDEARBORN1,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN1_FISHc_0006_2.jpeg,,
59969762,63-179,CAMPDEARBORN2,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN2_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OAKLAND_CAMPDEARBORN2_FISHc_0001_2.jpeg,,Original new_key 63-180
58749174,17-47,CARIBOU,CHIPPEWA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_068.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_069.jpg,,Original new_key 17-51
58749176,17-47,CARIBOU,CHIPPEWA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_070.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_071.jpg,,Original new_key 17-51
