"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back"
59105932,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_048.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_047.jpeg"
58753281,"43-237","COOL","LAKE","17","September","1953",NA,NA,"1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_010.jpg"
58753282,"43-237","COOL","LAKE","15","September","1953","16","September","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_011.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_012.jpg"
58753283,"43-237","COOL","LAKE","15","September","1953","16","September","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_013.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_014.jpg"
58753285,"43-237","COOL","LAKE","15","September","1953","16","September","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_015.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_016.jpg"
58753286,"43-237","COOL","LAKE","15","September","1953","16","September","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_017.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Cool_FISHc_018.jpg"
59965234,"7-178","COON","BARAGA","22","August","1953",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0003_2.jpeg"
59965235,"7-178","COON","BARAGA","21","August","1953","22","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0004_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0004_2.jpeg"
59965237,"7-178","COON","BARAGA","22","August","1953",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0002_2.jpeg"
59965239,"7-178","COON","BARAGA","23","August","1953","24","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0007_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0007_2.jpeg"
59965240,"7-178","COON","BARAGA","21","August","1953","22","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0005_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0005_2.jpeg"
59965241,"7-178","COON","BARAGA","22","August","1953","23","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0006_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0006_2.jpeg"
59965242,"7-178","COON","BARAGA","21","August","1953","22","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0008_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0008_2.jpeg"
59965243,"7-178","COON","BARAGA","22","August","1953","23","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0009_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0009_2.jpeg"
59965244,"7-178","COON","BARAGA","23","August","1953","24","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0010_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0010_2.jpeg"
59965245,"7-178","COON","BARAGA","22","August","1953","23","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0011_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0011_2.jpeg"
59965246,"7-178","COON","BARAGA","23","August","1953","24","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0012_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0012_2.jpeg"
59965247,"7-178","COON","BARAGA","24","August","1953","25","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0013_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0013_2.jpeg"
59965248,"7-178","COON","BARAGA","24","August","1953","25","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0014_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0014_2.jpeg"
59965249,"7-178","COON","BARAGA","24","August","1953","25","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0015_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_COON_FISHc_0015_2.jpeg"
59967820,"52-1066","COOPER","MARQUETTE","23","July","1951","24","July","1951","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Cooper_FISHc_013.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Cooper_FISHc_014.jpg"
59966562,"14-54","COPLEY","CASS","26","July","1938",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0001_2.jpeg"
59966564,"14-54","COPLEY","CASS","26","July","1938",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0002_2.jpeg"
59966565,"14-54","COPLEY","CASS","27","July","1938","27","July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_COPLEY_FISHc_0003_2.jpeg"
